order_id,rating,feedback_tag
ORD-US-30000,3,on_time
ORD-US-30001,5,on_time
ORD-US-30002,5,on_time
ORD-US-30003,5,on_time
ORD-US-30004,4,on_time
ORD-US-30005,5,on_time
ORD-US-30006,5,on_time
ORD-US-30007,4,on_time
ORD-US-30008,2,on_time
ORD-US-30009,2,on_time
ORD-US-30010,5,on_time
ORD-US-30011,5,on_time
ORD-US-30012,2,on_time
ORD-US-30013,5,on_time
ORD-US-30014,4,on_time
ORD-US-30015,4,on_time
ORD-US-30016,3,on_time
ORD-US-30017,4,on_time
ORD-US-30018,5,on_time
ORD-US-30019,5,on_time
ORD-US-30020,4,on_time
ORD-US-30021,5,on_time
ORD-US-30022,2,on_time
ORD-US-30023,4,on_time
ORD-US-30024,3,on_time
ORD-US-30025,3,on_time
ORD-US-30026,4,on_time
ORD-US-30027,3,on_time
ORD-US-30028,5,on_time
ORD-US-30029,4,on_time
ORD-US-30030,4,on_time
ORD-US-30031,5,on_time
ORD-US-30032,4,on_time
ORD-US-30033,3,on_time
ORD-US-30034,5,on_time
ORD-US-30035,5,on_time
ORD-US-30036,5,on_time
ORD-US-30037,5,on_time
ORD-US-30038,5,on_time
ORD-US-30039,5,on_time
ORD-US-30040,5,on_time
ORD-US-30041,4,on_time
ORD-US-30042,5,on_time
ORD-US-30043,5,on_time
ORD-US-30044,4,on_time
ORD-US-30045,3,on_time
ORD-US-30046,3,on_time
ORD-US-30047,5,on_time
ORD-US-30048,4,on_time
ORD-US-30049,5,on_time
ORD-US-30050,4,on_time
ORD-US-30051,5,on_time
ORD-US-30052,2,on_time
ORD-US-30053,5,on_time
ORD-US-30054,5,on_time
ORD-US-30055,2,on_time
ORD-US-30056,5,on_time
ORD-US-30057,2,on_time
ORD-US-30058,3,on_time
ORD-US-30059,5,on_time
ORD-US-30060,3,on_time
ORD-US-30061,5,on_time
ORD-US-30062,5,on_time
ORD-US-30063,3,on_time
ORD-US-30064,5,on_time
ORD-US-30065,3,on_time
ORD-US-30066,5,on_time
ORD-US-30067,5,on_time
ORD-US-30068,5,on_time
ORD-US-30069,5,on_time
ORD-US-30070,4,on_time
ORD-US-30071,5,on_time
ORD-US-30072,5,on_time
ORD-US-30073,5,on_time
ORD-US-30074,5,on_time
ORD-US-30075,4,on_time
ORD-US-30076,5,on_time
ORD-US-30077,5,on_time
ORD-US-30078,4,on_time
ORD-US-30079,5,on_time
ORD-US-30080,2,on_time
ORD-US-30081,3,on_time
ORD-US-30082,5,on_time
ORD-US-30083,3,on_time
ORD-US-30084,4,on_time
ORD-US-30085,4,on_time
ORD-US-30086,5,on_time
ORD-US-30087,3,on_time
ORD-US-30088,5,on_time
ORD-US-30089,5,on_time
ORD-US-30090,5,on_time
ORD-US-30091,5,on_time
ORD-US-30092,5,on_time
ORD-US-30093,4,on_time
ORD-US-30094,4,on_time
ORD-US-30095,5,on_time
ORD-US-30096,2,on_time
ORD-US-30097,5,on_time
ORD-US-30098,4,on_time
ORD-US-30099,4,on_time
ORD-US-30100,4,on_time
ORD-US-30101,5,on_time
ORD-US-30102,5,on_time
ORD-US-30103,4,on_time
ORD-US-30104,5,on_time
ORD-US-30105,4,on_time
ORD-US-30106,5,on_time
ORD-US-30107,1,on_time
ORD-US-30108,5,on_time
ORD-US-30109,3,on_time
ORD-US-30110,1,on_time
ORD-US-30111,3,on_time
ORD-US-30112,4,on_time
